,Unnamed: 0,CellID,Latitude,Longitude,RSLatitude,RSLongitude,RSDistance,RSCellID,ValidSnap,neighbors,ValidNeighbors
99,99,83266efffffffff,38.828035,-87.177729,38.806056,-87.174683,2458,83266efffffffff,True,"['832661fffffffff', '832663fffffffff', '832645fffffffff', '83266afffffffff', '832668fffffffff', '83266cfffffffff']","['832661fffffffff', '832663fffffffff', '832645fffffffff', '83266afffffffff', '832668fffffffff', '83266cfffffffff']"
100,100,832670fffffffff,40.857953,-91.562022,40.85792,-91.564667,222,832670fffffffff,True,"['832674fffffffff', '832676fffffffff', '832672fffffffff', '832673fffffffff', '832671fffffffff', '832675fffffffff']","['832674fffffffff', '832676fffffffff', '832672fffffffff', '832673fffffffff', '832671fffffffff', '832675fffffffff']"
101,101,832671fffffffff,40.108518,-90.505371,40.084843,-90.540488,3982,832671fffffffff,True,"['832675fffffffff', '832670fffffffff', '832673fffffffff', '832646fffffffff', '832644fffffffff', '832662fffffffff']","['832675fffffffff', '832670fffffffff', '832673fffffffff', '832646fffffffff', '832644fffffffff', '832662fffffffff']"
102,102,832672fffffffff,40.56471,-92.886471,40.566598,-92.894869,740,832672fffffffff,True,"['832676fffffffff', '83260dfffffffff', '832609fffffffff', '832654fffffffff', '832673fffffffff', '832670fffffffff']","['832676fffffffff', '83260dfffffffff', '832609fffffffff', '832654fffffffff', '832673fffffffff', '832670fffffffff']"
103,103,832673fffffffff,39.822853,-91.812628,39.824804,-91.817191,446,832673fffffffff,True,"['832670fffffffff', '832672fffffffff', '832654fffffffff', '832655fffffffff', '832646fffffffff', '832671fffffffff']","['832670fffffffff', '832672fffffffff', '832654fffffffff', '832655fffffffff', '832646fffffffff', '832671fffffffff']"
104,104,832674fffffffff,41.858193,-91.228942,41.857284,-91.249411,1698,832674fffffffff,True,"['83275afffffffff', '832629fffffffff', '832676fffffffff', '832670fffffffff', '832675fffffffff', '83275bfffffffff']","['83275afffffffff', '832629fffffffff', '832676fffffffff', '832670fffffffff', '832675fffffffff', '83275bfffffffff']"
105,105,832675fffffffff,41.1065,-90.171031,41.107328,-90.171931,119,832675fffffffff,True,"['83275bfffffffff', '832674fffffffff', '832670fffffffff', '832671fffffffff', '832662fffffffff', '832666fffffffff']","['83275bfffffffff', '832674fffffffff', '832670fffffffff', '832671fffffffff', '832662fffffffff', '832666fffffffff']"
106,106,832676fffffffff,41.593082,-92.631462,41.578136,-92.63388,1674,832676fffffffff,True,"['832629fffffffff', '83262bfffffffff', '83260dfffffffff', '832672fffffffff', '832670fffffffff', '832674fffffffff']","['832629fffffffff', '83262bfffffffff', '83260dfffffffff', '832672fffffffff', '832670fffffffff', '832674fffffffff']"
107,107,832680fffffffff,40.560174,-107.015014,40.486692,-106.999178,8280,832680fffffffff,True,"['832684fffffffff', '832686fffffffff', '832682fffffffff', '832683fffffffff', '832681fffffffff', '832685fffffffff']","['832684fffffffff', '832686fffffffff', '832682fffffffff', '832683fffffffff', '832681fffffffff', '832685fffffffff']"
108,108,832681fffffffff,39.939822,-105.781759,39.933121,-105.792143,1157,832681fffffffff,True,"['832685fffffffff', '832680fffffffff', '832683fffffffff', '83268efffffffff', '83268cfffffffff', '8326aafffffffff']","['832685fffffffff', '832680fffffffff', '832683fffffffff', '83268efffffffff', '83268cfffffffff', '8326aafffffffff']"
