,Unnamed: 0,CellID,Latitude,Longitude,RSLatitude,RSLongitude,RSDistance,RSCellID,ValidSnap,neighbors,ValidNeighbors
4307,4307,8448c59ffffffff,31.758577,-109.097159,31.754249,-109.088556,945,8448c59ffffffff,True,"['8448e33ffffffff', '8448e37ffffffff', '8448c5dffffffff', '8448c51ffffffff', '8448c5bffffffff', '8448ee5ffffffff']","['8448e33ffffffff', '8448e37ffffffff', '8448c5dffffffff', '8448c51ffffffff', '8448c5bffffffff', '8448ee5ffffffff']"
4308,4308,8448c5bffffffff,32.103964,-109.418398,32.050838,-109.491774,9094,8448c5bffffffff,True,"['8448ee5ffffffff', '8448c59ffffffff', '8448c51ffffffff', '8448c53ffffffff', '8448eadffffffff', '8448ee7ffffffff']","['8448ee5ffffffff', '8448c59ffffffff', '8448c51ffffffff', '8448c53ffffffff', '8448eadffffffff', '8448ee7ffffffff']"
4309,4309,8448c5dffffffff,31.81901,-108.580881,31.715188,-108.447543,17093,8448c5dffffffff,True,"['8448e37ffffffff', '8448c4bffffffff', '8448c43ffffffff', '8448c55ffffffff', '8448c51ffffffff', '8448c59ffffffff']","['8448e37ffffffff', '8448c4bffffffff', '8448c43ffffffff', '8448c55ffffffff', '8448c51ffffffff', '8448c59ffffffff']"
4310,4310,8448c61ffffffff,32.039651,-106.510886,32.0198,-106.498936,2478,8448c61ffffffff,True,"['8448c69ffffffff', '8448c6dffffffff', '8448c65ffffffff', '8448c67ffffffff', '8448c63ffffffff', '8448c6bffffffff']","['8448c69ffffffff', '8448c6dffffffff', '8448c65ffffffff', '8448c67ffffffff', '8448c63ffffffff', '8448c6bffffffff']"
4311,4311,8448c63ffffffff,32.390989,-106.82503,32.386358,-106.821816,597,8448c63ffffffff,True,"['8448c6bffffffff', '8448c61ffffffff', '8448c67ffffffff', '8448c29ffffffff', '8448c05ffffffff', '8448c0dffffffff']","['8448c6bffffffff', '8448c61ffffffff', '8448c67ffffffff', '8448c29ffffffff', '8448c05ffffffff', '8448c0dffffffff']"
4312,4312,8448c65ffffffff,32.089483,-105.992586,32.187491,-106.205513,22819,8448c65ffffffff,True,"['8448c6dffffffff', '8448f33ffffffff', '8448d59ffffffff', '8448d5bffffffff', '8448c67ffffffff', '8448c61ffffffff']","['8448c6dffffffff', '8448f33ffffffff', '8448d59ffffffff', '8448d5bffffffff', '8448c67ffffffff', '8448c61ffffffff']"
4313,4313,8448c67ffffffff,32.441946,-106.30515,32.492469,-106.395479,10167,8448c67ffffffff,True,"['8448c61ffffffff', '8448c65ffffffff', '8448d5bffffffff', '8448c2dffffffff', '8448c29ffffffff', '8448c63ffffffff']","['8448c61ffffffff', '8448c65ffffffff', '8448d5bffffffff', '8448c2dffffffff', '8448c29ffffffff', '8448c63ffffffff']"
4314,4314,8448c69ffffffff,31.636208,-106.715234,31.778327,-106.679325,16164,8448c69ffffffff,True,"['8448f13ffffffff', '8448f17ffffffff', '8448c6dffffffff', '8448c61ffffffff', '8448c6bffffffff', '8448c45ffffffff']","['8448c6dffffffff', '8448c61ffffffff', '8448c6bffffffff', '8448c45ffffffff']"
4315,4315,8448c6bffffffff,31.987678,-107.02895,31.813885,-107.062063,19576,8448c6bffffffff,True,"['8448c45ffffffff', '8448c69ffffffff', '8448c61ffffffff', '8448c63ffffffff', '8448c0dffffffff', '8448c47ffffffff']","['8448c45ffffffff', '8448c69ffffffff', '8448c61ffffffff', '8448c63ffffffff', '8448c0dffffffff', '8448c47ffffffff']"
4316,4316,8448c6dffffffff,31.68706,-106.19872,31.685132,-106.202275,399,8448c6dffffffff,True,"['8448f17ffffffff', '8448f3bffffffff', '8448f33ffffffff', '8448c65ffffffff', '8448c61ffffffff', '8448c69ffffffff']","['8448f3bffffffff', '8448f33ffffffff', '8448c65ffffffff', '8448c61ffffffff', '8448c69ffffffff']"
4317,4317,8448c81ffffffff,35.087059,-109.94019,34.997898,-109.916249,10151,8448c81ffffffff,True,"['8448c89ffffffff', '8448c8dffffffff', '8448c85ffffffff', '8448c87ffffffff', '8448c83ffffffff', '8448c8bffffffff']","['8448c89ffffffff', '8448c8dffffffff', '8448c85ffffffff', '8448c87ffffffff', '8448c83ffffffff', '8448c8bffffffff']"
4318,4318,8448c83ffffffff,35.423407,-110.27336,35.433882,-110.425194,13806,8448c83ffffffff,True,"['8448c8bffffffff', '8448c81ffffffff', '8448c87ffffffff', '8448cb9ffffffff', '8448c95ffffffff', '8448c9dffffffff']","['8448c8bffffffff', '8448c81ffffffff', '8448c87ffffffff', '8448cb9ffffffff', '8448c95ffffffff', '8448c9dffffffff']"
4319,4319,8448c85ffffffff,35.150276,-109.409265,35.193084,-109.422818,4917,8448c85ffffffff,True,"['8448c8dffffffff', '8448ce3ffffffff', '8448ca9ffffffff', '8448cabffffffff', '8448c87ffffffff', '8448c81ffffffff']","['8448c8dffffffff', '8448ce3ffffffff', '8448ca9ffffffff', '8448cabffffffff', '8448c87ffffffff', '8448c81ffffffff']"
4320,4320,8448c87ffffffff,35.487995,-109.741142,35.544676,-109.838041,10800,8448c87ffffffff,True,"['8448c81ffffffff', '8448c85ffffffff', '8448cabffffffff', '8448cbdffffffff', '8448cb9ffffffff', '8448c83ffffffff']","['8448c81ffffffff', '8448c85ffffffff', '8448cabffffffff', '8448cbdffffffff', '8448cb9ffffffff', '8448c83ffffffff']"
4321,4321,8448c89ffffffff,34.68481,-110.137774,34.690437,-110.106061,2966,8448c89ffffffff,True,"['8448cc3ffffffff', '8448cc7ffffffff', '8448c8dffffffff', '8448c81ffffffff', '8448c8bffffffff', '8448cd5ffffffff']","['8448cc3ffffffff', '8448cc7ffffffff', '8448c8dffffffff', '8448c81ffffffff', '8448c8bffffffff', '8448cd5ffffffff']"
